x,y,theta,v,x_ref,y_ref,theta_ref
-2.329325,1.147050,4.449362,1.000000,-4.418828,-2.339649,5.199336
-2.342325,1.098770,4.463711,1.000000,-4.381533,-2.408768,5.215044
-2.354631,1.050308,4.478090,1.000000,-4.343158,-2.477293,5.230752
-2.366239,1.001674,4.492499,1.000000,-4.303710,-2.545207,5.246460
-2.377145,0.952878,4.506939,1.000000,-4.263201,-2.612493,5.262168
-2.387346,0.903929,4.521411,1.000000,-4.221640,-2.679134,5.277876
-2.396836,0.854838,4.535913,1.000000,-4.179037,-2.745114,5.293584
-2.405615,0.805615,4.550446,1.000000,-4.135403,-2.810417,5.309292
-2.413676,0.756269,4.565010,1.000000,-4.090749,-2.875026,5.325000
-2.421019,0.706811,4.579606,1.000000,-4.045085,-2.938926,5.340708
-2.427638,0.657251,4.594232,1.000000,-3.998423,-3.002101,5.356415
-2.433532,0.607600,4.608890,1.000000,-3.950775,-3.064535,5.372123
-2.438698,0.557867,4.623579,1.000000,-3.902152,-3.126213,5.387831
-2.443133,0.508064,4.638300,1.000000,-3.852566,-3.187120,5.403539
-2.446834,0.458202,4.653052,1.000000,-3.802030,-3.247240,5.419247
-2.449799,0.408290,4.667835,1.000000,-3.750555,-3.306559,5.434955
-2.452026,0.358339,4.682650,1.000000,-3.698155,-3.365063,5.450663
-2.453513,0.308361,4.697497,1.000000,-3.644843,-3.422736,5.466371
-2.454257,0.258367,4.712375,1.000000,-3.590631,-3.479564,5.482079
-2.454258,0.208367,4.727285,1.000000,-3.535534,-3.535534,5.497787
-2.453513,0.158372,4.742227,1.000000,-3.479564,-3.590631,5.513495
-2.452021,0.108395,4.757201,1.000000,-3.422736,-3.644843,5.529203
-2.449782,0.058445,4.772206,1.000000,-3.365063,-3.698155,5.544911
-2.446793,0.008534,4.787243,1.000000,-3.306559,-3.750555,5.560619
-2.443053,-0.041326,4.802312,1.000000,-3.247240,-3.802030,5.576327
-2.438563,-0.091124,4.817413,1.000000,-3.187120,-3.852566,5.592035
-2.433322,-0.140848,4.832546,1.000000,-3.126213,-3.902152,5.607743
-2.427328,-0.190488,4.847710,1.000000,-3.064535,-3.950775,5.623451
-2.420583,-0.240031,4.862907,1.000000,-3.002101,-3.998423,5.639159
-2.413085,-0.289465,4.878136,1.000000,-2.938926,-4.045085,5.654867
-2.404836,-0.338780,4.893396,1.000000,-2.875026,-4.090749,5.670575
