x,y,theta,v,x_ref,y_ref,theta_ref
4.951419,0.377005,7.441468,1.000000,-4.994449,0.235532,4.665265
4.971465,0.422811,7.472292,1.000000,-4.997533,0.157054,4.680973
4.990089,0.469213,7.502283,1.000000,-4.999383,0.078537,4.696681
5.007314,0.516152,7.532278,1.000000,-5.000000,0.000000,4.712389
5.023123,0.563587,7.561439,1.000000,-4.999383,-0.078537,4.728097
5.037543,0.611463,7.590604,1.000000,-4.997533,-0.157054,4.743805
5.050560,0.659739,7.618935,1.000000,-4.994449,-0.235532,4.759513
5.062204,0.708364,7.647272,1.000000,-4.990134,-0.313953,4.775221
5.072466,0.757299,7.674776,1.000000,-4.984587,-0.392295,4.790929
5.081379,0.806499,7.702286,1.000000,-4.977810,-0.470542,4.806637
5.088934,0.855925,7.728967,1.000000,-4.969805,-0.548672,4.822345
5.095169,0.905534,7.755654,1.000000,-4.960574,-0.626666,4.838053
5.100077,0.955293,7.781517,1.000000,-4.950118,-0.704506,4.853761
5.103697,1.005162,7.807388,1.000000,-4.938442,-0.782172,4.869469
5.106026,1.055107,7.832440,1.000000,-4.925547,-0.859646,4.885177
5.107103,1.105096,7.857500,1.000000,-4.911436,-0.936907,4.900885
5.106927,1.155095,7.881749,1.000000,-4.896114,-1.013936,4.916593
5.105539,1.205076,7.905229,1.000000,-4.879584,-1.090716,4.932300
5.102978,1.255011,7.928717,1.000000,-4.861850,-1.167227,4.948008
5.099245,1.304871,7.951445,1.000000,-4.842916,-1.243449,4.963716
5.094379,1.354634,7.974181,1.000000,-4.822787,-1.319365,4.979424
5.088384,1.404273,7.996166,1.000000,-4.801468,-1.394956,4.995132
5.081298,1.453768,8.018159,1.000000,-4.778965,-1.470202,5.010840
5.073126,1.503096,8.039412,1.000000,-4.755283,-1.545085,5.026548
5.063908,1.552239,8.060673,1.000000,-4.730427,-1.619587,5.042256
5.053647,1.601175,8.081204,1.000000,-4.704404,-1.693690,5.057964
5.042383,1.649889,8.101050,1.000000,-4.677220,-1.767374,5.073672
5.030155,1.698371,8.120905,1.000000,-4.648882,-1.840623,5.089380
5.016967,1.746600,8.140085,1.000000,-4.619398,-1.913417,5.105088
5.002856,1.794568,8.159273,1.000000,-4.588773,-1.985739,5.120796
4.987827,1.842256,8.177800,1.000000,-4.557016,-2.057572,5.136504
4.971918,1.889657,8.195707,1.000000,-4.524135,-2.128896,5.152212
4.955162,1.936766,8.213623,1.000000,-4.490138,-2.199696,5.167920
4.937565,1.983567,8.230931,1.000000,-4.455033,-2.269952,5.183628
4.919161,2.030057,8.248248,1.000000,-4.418828,-2.339649,5.199336
4.899954,2.076221,8.265332,1.000000,-4.381533,-2.408768,5.215044
4.879962,2.122050,8.282424,1.000000,-4.343158,-2.477293,5.230752
4.859189,2.167531,8.299522,1.000000,-4.303710,-2.545207,5.246460
4.837642,2.212650,8.316627,1.000000,-4.263201,-2.612493,5.262168
4.815326,2.257393,8.333739,1.000000,-4.221640,-2.679134,5.277876
4.792248,2.301749,8.350856,1.000000,-4.179037,-2.745114,5.293584
4.768414,2.345703,8.367979,1.000000,-4.135403,-2.810417,5.309292
4.743831,2.389242,8.385107,1.000000,-4.090749,-2.875026,5.325000
4.718506,2.432354,8.402240,1.000000,-4.045085,-2.938926,5.340708
4.692446,2.475025,8.419378,1.000000,-3.998423,-3.002101,5.356415
4.665658,2.517244,8.436520,1.000000,-3.950775,-3.064535,5.372123
4.638151,2.558998,8.453666,1.000000,-3.902152,-3.126213,5.387831
4.609932,2.600273,8.470817,1.000000,-3.852566,-3.187120,5.403539
4.581009,2.641059,8.487971,1.000000,-3.802030,-3.247240,5.419247
4.551391,2.681343,8.505129,1.000000,-3.750555,-3.306559,5.434955
4.521086,2.721112,8.522290,1.000000,-3.698155,-3.365063,5.450663
4.490103,2.760356,8.539454,1.000000,-3.644843,-3.422736,5.466371
4.458451,2.799062,8.556621,1.000000,-3.590631,-3.479564,5.482079
4.426139,2.837219,8.573791,1.000000,-3.535534,-3.535534,5.497787
4.393177,2.874815,8.590963,1.000000,-3.479564,-3.590631,5.513495
4.359574,2.911840,8.608138,1.000000,-3.422736,-3.644843,5.529203
4.325341,2.948283,8.625315,1.000000,-3.365063,-3.698155,5.544911
4.290486,2.984132,8.642495,1.000000,-3.306559,-3.750555,5.560619
4.255021,3.019377,8.659677,1.000000,-3.247240,-3.802030,5.576327
4.218955,3.054007,8.676860,1.000000,-3.187120,-3.852566,5.592035
4.182300,3.088013,8.694046,1.000000,-3.126213,-3.902152,5.607743
4.145065,3.121384,8.711233,1.000000,-3.064535,-3.950775,5.623451
4.107263,3.154110,8.728422,1.000000,-3.002101,-3.998423,5.639159
4.068904,3.186181,8.745612,1.000000,-2.938926,-4.045085,5.654867
4.029999,3.217588,8.762803,1.000000,-2.875026,-4.090749,5.670575
3.990560,3.248322,8.779996,1.000000,-2.810417,-4.135403,5.686283
3.950599,3.278373,8.797191,1.000000,-2.745114,-4.179037,5.701991
