x,y,theta,v,x_ref,y_ref,theta_ref
3.976467,2.612590,2.597457,0.000000,-2.679134,4.221640,3.707079
3.976467,2.612590,2.597457,1.000000,-2.745114,4.179037,3.722787
3.933688,2.638474,2.601040,0.000000,-2.810417,4.135403,3.738495
3.933688,2.638474,2.601040,1.000000,-2.875026,4.090749,3.754203
3.890817,2.664204,2.618453,0.000000,-2.938926,4.045085,3.769911
3.890817,2.664204,2.618453,1.000000,-3.002101,3.998423,3.785619
3.847504,2.689184,2.632499,0.000000,-3.064535,3.950775,3.801327
3.847504,2.689184,2.632499,1.000000,-3.126213,3.902152,3.817035
3.803844,2.713554,2.636944,0.000000,-3.187120,3.852566,3.832743
3.803844,2.713554,2.636944,1.000000,-3.247240,3.802030,3.848451
3.760077,2.737729,2.644857,0.000000,-3.306559,3.750555,3.864159
3.760077,2.737729,2.644857,1.000000,-3.365063,3.698155,3.879867
3.716120,2.761556,2.664998,0.000000,-3.422736,3.644843,3.895575
3.716120,2.761556,2.664998,1.000000,-3.479564,3.590631,3.911283
3.671692,2.784494,2.680158,0.000000,-3.535534,3.535534,3.926991
3.671692,2.784494,2.680158,1.000000,-3.590631,3.479564,3.942699
3.626921,2.806756,2.685087,0.000000,-3.644843,3.422736,3.958407
3.626921,2.806756,2.685087,1.000000,-3.698155,3.365063,3.974115
3.582041,2.828797,2.703620,0.000000,-3.750555,3.306559,3.989823
3.582041,2.828797,2.703620,1.000000,-3.802030,3.247240,4.005531
3.536761,2.850002,2.718160,0.000000,-3.852566,3.187120,4.021239
3.536761,2.850002,2.718160,1.000000,-3.902152,3.126213,4.036947
3.491176,2.870546,2.731080,0.000000,-3.950775,3.064535,4.052655
3.491176,2.870546,2.731080,1.000000,-3.998423,3.002101,4.068362
3.445331,2.890500,2.735115,0.000000,-4.045085,2.938926,4.084070
3.445331,2.890500,2.735115,1.000000,-4.090749,2.875026,4.099778
3.399405,2.910269,2.753479,0.000000,-4.135403,2.810417,4.115486
3.399405,2.910269,2.753479,1.000000,-4.179037,2.745114,4.131194
3.353123,2.929191,2.767970,0.000000,-4.221640,2.679134,4.146902
3.353123,2.929191,2.767970,1.000000,-4.263201,2.612493,4.162610
3.306573,2.947441,2.772801,0.000000,-4.303710,2.545207,4.178318
3.306573,2.947441,2.772801,1.000000,-4.343158,2.477293,4.194026
3.259935,2.965465,2.781490,0.000000,-4.381533,2.408768,4.209734
3.259935,2.965465,2.781490,1.000000,-4.418828,2.339649,4.225442
3.213142,2.983084,2.802534,0.000000,-4.455033,2.269952,4.241150
3.213142,2.983084,2.802534,1.000000,-4.490138,2.199696,4.256858
3.165988,2.999714,2.817971,0.000000,-4.524135,2.128896,4.272566
3.165988,2.999714,2.817971,1.000000,-4.557016,2.057572,4.288274
3.118584,3.015614,2.823172,0.000000,-4.588773,1.985739,4.303982
3.118584,3.015614,2.823172,1.000000,-4.619398,1.913417,4.319690
3.071097,3.031267,2.842463,0.000000,-4.648882,1.840623,4.335398
3.071097,3.031267,2.842463,1.000000,-4.677220,1.767374,4.351106
3.023318,3.046002,2.857315,0.000000,-4.704404,1.693690,4.366814
3.023318,3.046002,2.857315,1.000000,-4.730427,1.619587,4.382522
2.975324,3.060025,2.870562,0.000000,-4.755283,1.545085,4.398230
2.975324,3.060025,2.870562,1.000000,-4.778965,1.470202,4.413938
2.927150,3.073411,2.874975,0.000000,-4.801468,1.394956,4.429646
2.927150,3.073411,2.874975,1.000000,-4.822787,1.319365,4.445354
2.878916,3.086585,2.894157,0.000000,-4.842916,1.243449,4.461062
2.878916,3.086585,2.894157,1.000000,-4.861850,1.167227,4.476770
2.830439,3.098831,2.908989,0.000000,-4.879584,1.090716,4.492477
2.830439,3.098831,2.908989,1.000000,-4.896114,1.013936,4.508185
2.781786,3.110356,2.914138,0.000000,-4.911436,0.936907,4.523893
2.781786,3.110356,2.914138,1.000000,-4.925547,0.859646,4.539601
2.733073,3.121631,2.923495,0.000000,-4.938442,0.782172,4.555309
2.733073,3.121631,2.923495,1.000000,-4.950118,0.704506,4.571017
2.684258,3.132450,2.945299,0.000000,-4.960574,0.626666,4.586725
2.684258,3.132450,2.945299,1.000000,-4.969805,0.548672,4.602433
2.635218,3.142201,2.960944,0.000000,-4.977810,0.470542,4.618141
2.635218,3.142201,2.960944,1.000000,-4.984587,0.392295,4.633849
2.586032,3.151185,2.966388,0.000000,-4.990134,0.313953,4.649557
2.586032,3.151185,2.966388,1.000000,-4.994449,0.235532,4.665265
2.536797,3.159900,2.986358,0.000000,-4.997533,0.157054,4.680973
2.536797,3.159900,2.986358,1.000000,-4.999383,0.078537,4.696681
2.487398,3.167631,3.001478,0.000000,-5.000000,0.000000,4.712389
2.487398,3.167631,3.001478,1.000000,-4.999383,-0.078537,4.728097
2.437888,3.174614,3.015027,0.000000,-4.997533,-0.157054,4.743805
2.437888,3.174614,3.015027,1.000000,-4.994449,-0.235532,4.759513
2.388288,3.180925,3.019793,0.000000,-4.990134,-0.313953,4.775221
2.388288,3.180925,3.019793,1.000000,-4.984587,-0.392295,4.790929
2.338659,3.187000,3.039707,0.000000,-4.977810,-0.470542,4.806637
2.338659,3.187000,3.039707,1.000000,-4.969805,-0.548672,4.822345
2.288918,3.192086,3.054839,0.000000,-4.960574,-0.626666,4.838053
2.288918,3.192086,3.054839,1.000000,-4.950118,-0.704506,4.853761
2.239106,3.196418,3.060287,0.000000,-4.938442,-0.782172,4.869469
2.239106,3.196418,3.060287,1.000000,-4.925547,-0.859646,4.885177
2.189271,3.200479,3.070246,0.000000,-4.911436,-0.936907,4.900885
2.189271,3.200479,3.070246,1.000000,-4.896114,-1.013936,4.916593
2.139398,3.204043,3.092720,0.000000,-4.879584,-1.090716,4.932300
2.139398,3.204043,3.092720,1.000000,-4.861850,-1.167227,4.948008
2.089458,3.206486,3.108563,0.000000,-4.842916,-1.243449,4.963716
2.089458,3.206486,3.108563,1.000000,-4.822787,-1.319365,4.979424
2.039485,3.208137,3.114260,0.000000,-4.801468,-1.394956,4.995132
2.039485,3.208137,3.114260,1.000000,-4.778965,-1.470202,5.010840
1.989504,3.209503,3.134860,0.000000,-4.755283,-1.545085,5.026548
1.989504,3.209503,3.134860,1.000000,-4.730427,-1.619587,5.042256
1.939505,3.209840,3.150247,0.000000,-4.704404,-1.693690,5.057964
1.939505,3.209840,3.150247,1.000000,-4.677220,-1.767374,5.073672
1.889507,3.209407,3.164110,0.000000,-4.648882,-1.840623,5.089380
1.889507,3.209407,3.164110,1.000000,-4.619398,-1.913417,5.105088
1.839520,3.208281,3.169229,0.000000,-4.588773,-1.985739,5.120796
1.839520,3.208281,3.169229,1.000000,-4.557016,-2.057572,5.136504
1.789539,3.206900,3.189815,0.000000,-4.524135,-2.128896,5.152212
1.789539,3.206900,3.189815,1.000000,-4.490138,-2.199696,5.167920
1.739597,3.204490,3.205245,0.000000,-4.455033,-2.269952,5.183628
1.739597,3.204490,3.205245,1.000000,-4.418828,-2.339649,5.199336
1.689698,3.201309,3.211003,0.000000,-4.381533,-2.408768,5.215044
1.689698,3.201309,3.211003,1.000000,-4.343158,-2.477293,5.230752
1.639819,3.197841,3.221519,0.000000,-4.303710,-2.545207,5.246460
1.639819,3.197841,3.221519,1.000000,-4.263201,-2.612493,5.262168
1.589978,3.193849,3.244610,0.000000,-4.221640,-2.679134,5.277876
1.589978,3.193849,3.244610,1.000000,-4.179037,-2.745114,5.293584
1.540243,3.188708,3.260682,0.000000,-4.135403,-2.810417,5.309292
1.540243,3.188708,3.260682,1.000000,-4.090749,-2.875026,5.325000
1.490597,3.182767,3.266665,0.000000,-4.045085,-2.938926,5.340708
1.490597,3.182767,3.266665,1.000000,-3.998423,-3.002101,5.356415
1.440988,3.176530,3.287864,0.000000,-3.950775,-3.064535,5.372123
1.440988,3.176530,3.287864,1.000000,-3.902152,-3.126213,5.387831
1.391522,3.169242,3.303547,0.000000,-3.852566,-3.187120,5.403539
1.391522,3.169242,3.303547,1.000000,-3.802030,-3.247240,5.419247
1.342176,3.161180,3.317752,0.000000,-3.750555,-3.306559,5.434955
1.342176,3.161180,3.317752,1.000000,-3.698155,-3.365063,5.450663
1.292950,3.152417,3.323243,0.000000,-3.644843,-3.422736,5.466371
1.292950,3.152417,3.323243,1.000000,-3.590631,-3.479564,5.482079
